"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Hinckley and Bosworth","E07000132","Total",85731,55935,44880,11055,29796,16744,645,1792,5122,5493
"2011","Melton","E07000133","Total",40816,26805,21596,5209,14011,7769,313,798,2447,2684
"2011","North West Leicestershire","E07000134","Total",75046,48657,38938,9719,26389,14954,652,1408,4545,4830
"2011","Oadby and Wigston","E07000135","Total",43956,27322,22964,4358,16634,9698,745,691,2287,3213
"2011","Boston","E07000136","Total",52375,32792,25268,7524,19583,10431,755,956,3681,3760
"2011","East Lindsey","E07000137","Total",112546,73584,60223,13361,38962,19212,1046,1916,7499,9289
"2011","Lincoln","E07000138","Total",72591,38957,27488,11469,33634,21247,732,1409,6028,4218
"2011","North Kesteven","E07000139","Total",86941,59177,49134,10043,27764,14380,711,1468,5196,6009
"2011","South Holland","E07000140","Total",72510,47933,37898,10035,24577,12666,926,1290,4207,5488
"2011","South Kesteven","E07000141","Total",107888,70802,57167,13635,37086,19846,941,2293,6929,7077
"2011","West Lindsey","E07000142","Total",72402,48127,39542,8585,24275,12872,607,1232,4524,5040
"2011","Corby","E07000150","Total",48376,28325,20804,7521,20051,11799,574,1401,3350,2927
"2011","Daventry","E07000151","Total",61198,40944,33362,7582,20254,11294,539,1329,3559,3533
"2011","East Northamptonshire","E07000152","Total",68117,45461,35974,9487,22656,12559,615,1478,4171,3833
"2011","Kettering","E07000153","Total",73866,46754,36564,10190,27112,15262,680,1817,4919,4434
"2011","Northampton","E07000154","Total",165492,94280,70905,23375,71212,43734,2398,4628,11448,9004
"2011","South Northamptonshire","E07000155","Total",67992,46800,39097,7703,21192,11912,534,1253,3641,3852
"2011","Wellingborough","E07000156","Total",59581,36468,28898,7570,23113,13130,610,1486,4108,3779
"2011","Ashfield","E07000170","Total",95414,59591,45743,13848,35823,20345,708,2133,6406,6231
"2011","Bassetlaw","E07000171","Total",89999,57446,45944,11502,32553,17704,823,1758,5964,6304
"2011","Broxtowe","E07000172","Total",90032,55937,44652,11285,34095,20422,881,1550,5323,5919
"2011","Gedling","E07000173","Total",92402,57127,45176,11951,35275,20394,807,1855,6096,6123
"2011","Mansfield","E07000174","Total",84481,51803,39652,12151,32678,18390,745,1747,6031,5765
"2011","Newark and Sherwood","E07000175","Total",91705,58837,47320,11517,32868,17902,739,1747,6104,6376
"2011","Rushcliffe","E07000176","Total",88229,57058,47646,9412,31171,18542,657,1398,4925,5649
"2011","Herefordshire, County of","E06000019","Total",149286,94141,76626,17515,55145,30508,1588,2518,9997,10534
"2011","Shropshire","E06000051","Total",245878,156489,126812,29677,89389,49919,2248,3862,16100,17260
"2011","Stoke-on-Trent","E06000021","Total",197728,110953,84486,26467,86775,51934,2351,4497,14307,13686
"2011","Telford and Wrekin","E06000020","Total",130362,79730,61416,18314,50632,30019,1284,2743,9076,7510
"2011","Cannock Chase","E07000192","Total",78394,49631,38221,11410,28763,16744,584,1420,4946,5069
"2011","East Staffordshire","E07000193","Total",89815,55699,44536,11163,34116,19692,1052,1782,5625,5965
