"date","geography","geography code","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"2011","King's Lynn and West Norfolk","E07000146","Total",147451,130039,10357,2261,4794
"2011","North Norfolk","E07000147","Total",101499,89097,7959,1450,2993
"2011","Norwich","E07000148","Total",132512,120628,7492,1523,2869
"2011","South Norfolk","E07000149","Total",124012,110192,9604,1482,2734
"2011","Babergh","E07000200","Total",87740,78024,6819,1020,1877
"2011","Forest Heath","E07000201","Total",59748,54796,3110,634,1208
"2011","Ipswich","E07000202","Total",133384,120322,8193,1730,3139
"2011","Mid Suffolk","E07000203","Total",96731,86263,7418,1055,1995
"2011","St Edmundsbury","E07000204","Total",111008,99949,7550,1187,2322
"2011","Suffolk Coastal","E07000205","Total",124298,109461,10276,1642,2919
"2011","Waveney","E07000206","Total",115254,101603,8141,1776,3734
"2011","Camden","E09000007","Total",220338,203032,11551,2437,3318
"2011","City of London","E09000001","Total",7375,6799,455,51,70
"2011","Hackney","E09000012","Total",246270,228322,10734,3094,4120
"2011","Hammersmith and Fulham","E09000013","Total",182493,170159,7936,1867,2531
"2011","Haringey","E09000014","Total",254926,236039,11812,2904,4171
"2011","Islington","E09000019","Total",206125,189814,10044,2505,3762
"2011","Kensington and Chelsea","E09000020","Total",158649,147671,7472,1552,1954
"2011","Lambeth","E09000022","Total",303086,282609,13035,3172,4270
"2011","Lewisham","E09000023","Total",275885,253364,13931,3502,5088
"2011","Newham","E09000025","Total",307984,283380,13094,5191,6319
"2011","Southwark","E09000028","Total",288283,267558,12531,3446,4748
"2011","Tower Hamlets","E09000030","Total",254096,234740,10931,3510,4915
"2011","Wandsworth","E09000032","Total",306995,287010,13132,2876,3977
"2011","Westminster","E09000033","Total",219396,203518,9916,2536,3426
"2011","Barking and Dagenham","E09000002","Total",185911,169710,8637,2941,4623
"2011","Barnet","E09000003","Total",356386,324066,21487,4586,6247
"2011","Bexley","E09000004","Total",231997,208475,14752,3051,5719
"2011","Brent","E09000005","Total",311215,284605,15813,4938,5859
"2011","Bromley","E09000006","Total",309392,278380,21274,3439,6299
"2011","Croydon","E09000008","Total",363378,329695,22063,4750,6870
"2011","Ealing","E09000009","Total",338449,309676,17668,5033,6072
"2011","Enfield","E09000010","Total",312466,284842,17299,4131,6194
"2011","Greenwich","E09000011","Total",254557,232543,13085,3519,5410
"2011","Harrow","E09000015","Total",239056,214436,15889,3947,4784
"2011","Havering","E09000016","Total",237232,212018,16094,3285,5835
"2011","Hillingdon","E09000017","Total",273936,248031,16563,3816,5526
"2011","Hounslow","E09000018","Total",253957,231647,13897,3623,4790
"2011","Kingston upon Thames","E09000021","Total",160060,146772,9331,1611,2346
"2011","Merton","E09000024","Total",199693,183366,10531,2408,3388
"2011","Redbridge","E09000026","Total",278970,251679,17182,4405,5704
"2011","Richmond upon Thames","E09000027","Total",186990,171188,11816,1605,2381
"2011","Sutton","E09000029","Total",190146,171848,12436,2242,3620
"2011","Waltham Forest","E09000031","Total",258249,236976,12887,3426,4960
"2011","Bracknell Forest","E06000036","Total",113205,103531,6719,1098,1857
"2011","Brighton and Hove","E06000043","Total",273369,249402,16401,2850,4716
"2011","Isle of Wight","E06000046","Total",138265,121845,10208,2108,4104
"2011","Medway","E06000035","Total",263925,238892,15001,3348,6684
"2011","Milton Keynes","E06000042","Total",248821,227024,14018,2991,4788
"2011","Portsmouth","E06000044","Total",205056,187920,10794,2239,4103
"2011","Reading","E06000038","Total",155698,143383,8074,1642,2599
"2011","Slough","E06000039","Total",140205,128579,7058,1977,2591
"2011","Southampton","E06000045","Total",236882,216519,12681,2880,4802
"2011","West Berkshire","E06000037","Total",153822,139534,10313,1466,2509
"2011","Windsor and Maidenhead","E06000040","Total",144560,131325,9604,1432,2199
"2011","Wokingham","E06000041","Total",154380,140478,10190,1397,2315
"2011","Aylesbury Vale","E07000004","Total",174137,157571,11840,1787,2939
"2011","Chiltern","E07000005","Total",92635,82971,7324,859,1481
"2011","South Bucks","E07000006","Total",66867,59974,4982,737,1174
"2011","Wycombe","E07000007","Total",171644,155253,11674,1885,2832
"2011","Eastbourne","E07000061","Total",99412,88894,6678,1261,2579
"2011","Hastings","E07000062","Total",90254,80812,5708,1321,2413
"2011","Lewes","E07000063","Total",97502,86001,8000,1197,2304
"2011","Rother","E07000064","Total",90588,79327,7279,1250,2732
"2011","Wealden","E07000065","Total",148915,132228,11872,1716,3099
"2011","Basingstoke and Deane","E07000084","Total",167799,152566,10548,1697,2988
"2011","East Hampshire","E07000085","Total",115608,103977,8497,1106,2028
"2011","Eastleigh","E07000086","Total",125199,112478,8895,1417,2409
