"date","geography","geography code","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","Ipswich","E07000202","Total",107396,27723,17054,17469,4098,12269,22152,6631,2980,3650,1636,370,1630
"2011","Mid Suffolk","E07000203","Total",78907,17621,10963,13279,3247,9820,20864,3113,2146,1553,798,87,659
"2011","St Edmundsbury","E07000204","Total",90683,20277,13260,15616,3565,10868,22278,4819,2488,2042,1043,128,858
"2011","Suffolk Coastal","E07000205","Total",102401,21592,13784,17078,4221,11582,29678,4466,2812,2069,990,141,922
"2011","Waveney","E07000206","Total",95369,28447,13550,15490,5196,11128,17052,4506,2493,2011,885,250,859
"2011","Camden","E09000007","Total",184873,23451,12556,14454,1558,22340,93453,17061,3276,25130,4778,1452,18861
"2011","City of London","E09000001","Total",6755,454,291,445,47,484,4618,416,69,422,103,30,289
"2011","Hackney","E09000012","Total",195145,38172,17500,19612,1862,18106,81591,18302,4943,17606,4958,1770,10855
"2011","Hammersmith and Fulham","E09000013","Total",152863,19515,10725,12738,1768,16306,75765,16046,2623,13772,3824,869,9036
"2011","Haringey","E09000014","Total",202856,36163,17685,20563,1981,19456,82727,24281,5240,17285,5121,1833,10303
"2011","Islington","E09000019","Total",173300,29448,13943,14552,1743,16904,83276,13434,3229,18558,4250,1500,12779
"2011","Kensington and Chelsea","E09000020","Total",134267,13549,7730,10583,952,13460,70731,17262,2130,11118,2092,586,8407
"2011","Lambeth","E09000022","Total",248300,35352,21169,24408,2640,23988,115758,24985,5190,19056,6365,1990,10646
"2011","Lewisham","E09000023","Total",218749,38763,24225,27248,3160,23694,83127,18532,5742,18527,6630,2421,9433
"2011","Newham","E09000025","Total",238090,49087,27152,26742,2425,23456,71771,37457,7381,35441,13251,4804,17346
"2011","Southwark","E09000028","Total",234901,38384,22077,24045,2623,24779,101172,21821,5264,27083,7758,2534,16752
"2011","Tower Hamlets","E09000030","Total",203953,40719,18928,17734,1821,20643,83675,20433,4599,24722,7402,2544,14724
"2011","Wandsworth","E09000032","Total",255989,29622,16903,21454,2509,25485,137142,22874,4273,17479,5767,1608,10055
"2011","Westminster","E09000033","Total",186812,23943,12308,14497,1420,17113,93946,23585,3174,18736,3506,1105,14078
"2011","Barking and Dagenham","E09000002","Total",137613,38396,20904,20617,2888,12759,28715,13334,4620,9882,3336,1335,5187
"2011","Barnet","E09000003","Total",282152,43833,27240,34028,3778,28742,113815,30716,8373,20589,6018,1907,12612
"2011","Bexley","E09000004","Total",184431,42366,31049,32694,6951,21334,40146,9891,5839,8356,2955,801,4539
"2011","Brent","E09000005","Total",248458,47721,25718,26967,3059,24163,82619,38211,7203,22545,7569,2449,12467
"2011","Bromley","E09000006","Total",248806,44572,33858,40025,6773,28644,82304,12630,7170,8470,3103,643,4684
"2011","Croydon","E09000008","Total",284268,50081,39285,43299,6018,32498,90321,22766,9093,16784,6180,1926,8619
"2011","Ealing","E09000009","Total",269572,44366,26592,28237,3905,25887,99836,40749,7307,20423,6809,2099,11472
"2011","Enfield","E09000010","Total",242465,55736,31158,33389,4715,25557,69627,22283,7914,16901,5325,1976,9556
"2011","Greenwich","E09000011","Total",199163,41082,23896,26189,3766,21250,66120,16860,5293,17560,6495,2225,8813
"2011","Harrow","E09000015","Total",190998,31997,20852,24447,3271,19870,70218,20343,6297,12968,4318,1137,7484
"2011","Havering","E09000016","Total",192844,50951,32241,33519,7238,21797,37498,9600,5668,6560,2436,586,3488
"2011","Hillingdon","E09000017","Total",217043,41548,30336,30853,6316,27094,60854,20042,6481,19383,6285,1963,11096
"2011","Hounslow","E09000018","Total",202424,35084,23767,23364,3401,19798,69955,27055,5416,15015,5782,1580,7623
"2011","Kingston upon Thames","E09000021","Total",129790,17400,12665,15792,2568,17482,53782,10101,3155,13227,4344,1280,7573
"2011","Merton","E09000024","Total",160840,24378,15900,18875,2689,15928,66091,16979,4103,9657,3507,833,5294
"2011","Redbridge","E09000026","Total",216112,39877,26437,28374,3648,22208,73299,22269,7095,16527,5126,1980,9379
"2011","Richmond upon Thames","E09000027","Total",150052,15915,11075,15916,2304,15920,79584,9338,3383,7331,2563,558,4195
"2011","Sutton","E09000029","Total",152158,28330,21588,24423,4374,18023,45775,9645,4648,5641,2374,469,2777
"2011","Waltham Forest","E09000031","Total",203131,42262,24934,25845,3494,20340,60914,25342,5676,16931,5650,1878,9352
"2011","Bracknell Forest","E06000036","Total",89743,14639,13755,15191,3032,11389,27197,4540,2852,2392,1233,163,980
"2011","Brighton and Hove","E06000043","Total",229024,36775,25190,28769,4854,36599,84423,12414,5065,27229,8230,2676,16285
"2011","Isle of Wight","E06000046","Total",115589,28078,16865,19395,5799,14128,26163,5161,3106,2592,993,249,1332
"2011","Medway","E06000035","Total",210511,48226,35473,38653,9857,26818,40275,11209,6409,9800,3621,1034,5114
