"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Sevenoaks","E07000111","Total",48376,48369,2,5,48400,47020,1380,16101,13870,11284,5089,1024,465,567
"2011","Folkestone and Hythe","E07000112","Total",49568,49485,21,62,49873,47379,2494,13451,12032,11010,7726,4492,883,279
"2011","Swale","E07000113","Total",57989,57966,12,11,58053,55585,2468,13653,18870,18307,4987,1151,592,493
"2011","Thanet","E07000114","Total",64998,64913,29,56,65276,59513,5763,12790,18332,14826,11450,5890,1063,925
"2011","Tonbridge and Malling","E07000115","Total",49972,49964,5,3,49984,48140,1844,13618,18707,11281,5049,644,486,199
"2011","Tunbridge Wells","E07000116","Total",48922,48883,11,28,49085,47174,1911,13096,14424,8779,7955,3929,736,166
"2011","Cherwell","E07000177","Total",59018,58990,12,16,59079,56728,2351,17850,20800,13661,5060,1041,490,177
"2011","Oxford","E07000178","Total",57217,57093,38,86,57695,55375,2320,5216,17163,16251,14747,3511,646,161
"2011","South Oxfordshire","E07000179","Total",56644,56634,7,3,56663,54104,2559,20279,18303,10779,4943,859,579,921
"2011","Vale of White Horse","E07000180","Total",51020,51016,2,2,51036,49407,1629,18581,15467,9612,5536,903,396,541
"2011","West Oxfordshire","E07000181","Total",45580,45576,2,2,45597,43241,2356,15620,14727,10270,3595,614,444,327
"2011","Elmbridge","E07000207","Total",55731,55716,4,11,55774,52922,2852,18817,14245,9386,10940,1488,846,52
"2011","Epsom and Ewell","E07000208","Total",30538,30531,2,5,30580,29784,796,8254,10774,4284,6049,735,466,18
"2011","Guildford","E07000209","Total",56080,56045,9,26,56220,53973,2247,18918,18188,7793,8145,2208,523,445
"2011","Mole Valley","E07000210","Total",36971,36964,3,4,36989,35828,1161,14062,10325,4554,5738,1094,458,758
"2011","Reigate and Banstead","E07000211","Total",57053,57019,15,19,57150,55423,1727,16169,16845,9499,11798,1775,694,370
"2011","Runnymede","E07000212","Total",34246,34227,7,12,34316,32714,1602,9394,11049,5363,6121,803,442,1144
"2011","Spelthorne","E07000213","Total",40887,40869,6,12,40945,39512,1433,8063,14222,8498,8423,898,571,270
"2011","Surrey Heath","E07000214","Total",34733,34725,4,4,34757,33546,1211,15722,8618,4518,4681,665,338,215
"2011","Tandridge","E07000215","Total",34718,34710,5,3,34741,33342,1399,12665,9705,4828,5733,992,509,309
"2011","Waverley","E07000216","Total",51545,51532,5,8,51597,49280,2317,21196,13915,7511,6572,1540,597,266
"2011","Woking","E07000217","Total",40652,40645,0,7,40691,39467,1224,12709,9872,7922,8689,919,448,132
"2011","Adur","E07000223","Total",27653,27647,2,4,27673,26957,716,5069,10399,5872,5061,659,367,246
"2011","Arun","E07000224","Total",70190,70115,22,53,70472,66706,3766,23729,16283,13773,11531,3317,809,1030
"2011","Chichester","E07000225","Total",53813,53802,2,9,53876,49848,4028,20136,14688,9910,6947,1167,555,473
"2011","Crawley","E07000226","Total",43464,43455,3,6,43484,42727,757,6050,9013,18098,9688,398,227,10
